projectID,day,ID,COLI_NON_24,COLI_COLI_24,COLI_NON_48,COLI_COLI_48,EB_NON_24,EB_COLI_24,EB_NON_48,EB_COLI_48,CVTA
464,10,11,NT,NT,NT,NT,NT,NT,NT,NT,-
464,10,12,NT,NT,NT,NT,NT,NT,NT,NT,-
464,10,13,NT,NT,NT,NT,NT,NT,NT,NT,+
464,10,14,NT,NT,NT,NT,NT,NT,NT,NT,-
464,10,12_1,NT,NT,NT,NT,NT,NT,NT,NT,-
464,10,13_1,NT,NT,NT,NT,NT,NT,NT,NT,-
464,10,21,++,--,++,--,--,--,--,--,+
464,10,22,++,--,++,--,--,--,--,--,+
464,10,24,++,--,++,--,++,++,++,++,+
464,10,31,--,--,--,--,--,--,--,--,-
464,10,32,--,--,--,--,--,--,--,--,-
464,10,33,--,--,++,--,--,--,++,--,-
464,10,34,--,--,--,--,--,--,--,--,-
464,10,51,--,--,--,--,--,--,--,--,-
464,10,61,NT,NT,NT,NT,NT,NT,NT,NT,+
464,10,61_1,NT,NT,NT,NT,NT,NT,NT,NT,+
464,10,25,--,--,++,--,++,--,++,--,+
464,10,21_1,--,--,--,--,--,--,--,--,-
464,10,21_2,++,--,++,--,--,--,--,--,+
464,10,22_1,++,--,++,--,--,--,--,--,+
464,10,24_1,++,++,++,++,++,--,++,++,+
464,10,32_1,++,++,++,++,++,--,++,++,+
464,10,32_2,--,--,+-,--,--,--,--,--,+
464,10,32_3,--,--,--,--,--,--,--,--,-
464,10,32_4,--,--,--,--,--,--,--,--,-
464,10,32_5,++,--,++,--,++,--,--,--,+
464,10,32_6,--,--,+-,--,--,--,--,--,+
464,10,33_1,--,--,--,--,--,--,--,--,-
464,10,33_2,--,--,++,--,--,--,++,--,+
464,10,33_3,++,--,++,--,++,--,--,--,+
464,10,33_4,--,--,--,--,--,--,++,--,+
464,10,34_1,++,--,++,--,--,--,--,--,+
464,10,35,++,--,++,--,++,--,++,--,+
